UF,feriados,feriado,nota,data,cidade_uf,lat,lon
TO,25/12/2025 - Natal,Natal,,2025-12-25,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,20/11/2025 - Consciência Negra,Consciência Negra,,2025-11-20,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Ponte Alta do Tocantins - TO,-12.088669,-46.4776274
TO,25/12/2025 - Natal,Natal,,2025-12-25,Novo Alegre - TO,-12.915134,-46.5740939
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Novo Alegre - TO,-12.915134,-46.5740939
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Novo Alegre - TO,-12.915134,-46.5740939
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Novo Alegre - TO,-12.915134,-46.5740939
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Novo Alegre - TO,-12.915134,-46.5740939
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Novo Alegre - TO,-12.915134,-46.5740939
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Novo Alegre - TO,-12.915134,-46.5740939
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Novo Alegre - TO,-12.915134,-46.5740939
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Novo Alegre - TO,-12.915134,-46.5740939
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Novo Alegre - TO,-12.915134,-46.5740939
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Novo Alegre - TO,-12.915134,-46.5740939
TO,25/12/2025 - Natal,Natal,,2025-12-25,Novo Jardim - TO,-11.8199253,-46.6254107
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Novo Jardim - TO,-11.8199253,-46.6254107
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Novo Jardim - TO,-11.8199253,-46.6254107
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Novo Jardim - TO,-11.8199253,-46.6254107
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Novo Jardim - TO,-11.8199253,-46.6254107
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Novo Jardim - TO,-11.8199253,-46.6254107
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Novo Jardim - TO,-11.8199253,-46.6254107
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Novo Jardim - TO,-11.8199253,-46.6254107
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Novo Jardim - TO,-11.8199253,-46.6254107
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Novo Jardim - TO,-11.8199253,-46.6254107
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Novo Jardim - TO,-11.8199253,-46.6254107
TO,25/12/2025 - Natal,Natal,,2025-12-25,Palmas - TO,-10.2918921,-48.3591819
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Palmas - TO,-10.2918921,-48.3591819
TO,02/11/2025 -  Dia de Finados, Dia de Finados,,2025-11-02,Palmas - TO,-10.2918921,-48.3591819
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Palmas - TO,-10.2918921,-48.3591819
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Palmas - TO,-10.2918921,-48.3591819
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Palmas - TO,-10.2918921,-48.3591819
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Palmas - TO,-10.2918921,-48.3591819
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Palmas - TO,-10.2918921,-48.3591819
TO,20/05/2025 - Aniversário de Palmas,Aniversário de Palmas,,2025-05-20,Palmas - TO,-10.2918921,-48.3591819
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Palmas - TO,-10.2918921,-48.3591819
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Palmas - TO,-10.2918921,-48.3591819
TO,18/04/2025 - Sexta-feira Santa,Sexta-feira Santa,,2025-04-18,Palmas - TO,-10.2918921,-48.3591819
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Palmas - TO,-10.2918921,-48.3591819
TO,19/03/2025 - São José,São José,,2025-03-19,Palmas - TO,-10.2918921,-48.3591819
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Palmas - TO,-10.2918921,-48.3591819
TO,25/12/2025 - Natal,Natal,,2025-12-25,Palmeirante - TO,-7.8579518,-47.9287615
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Palmeirante - TO,-7.8579518,-47.9287615
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Palmeirante - TO,-7.8579518,-47.9287615
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Palmeirante - TO,-7.8579518,-47.9287615
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Palmeirante - TO,-7.8579518,-47.9287615
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Palmeirante - TO,-7.8579518,-47.9287615
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Palmeirante - TO,-7.8579518,-47.9287615
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Palmeirante - TO,-7.8579518,-47.9287615
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Palmeirante - TO,-7.8579518,-47.9287615
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Palmeirante - TO,-7.8579518,-47.9287615
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Palmeirante - TO,-7.8579518,-47.9287615
TO,25/12/2025 - Natal,Natal,,2025-12-25,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Palmeiras do Tocantins - TO,-6.6096035,-47.546399
TO,25/12/2025 - Natal,Natal,,2025-12-25,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,15/07/2025 - Feriado Municipal,Feriado Municipal,,2025-07-15,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,29/06/2025 - Feriado Municipal,Feriado Municipal,,2025-06-29,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Pedro Afonso - TO,-8.9924346,-48.1759067
TO,25/12/2025 - Natal,Natal,,2025-12-25,Peixe - TO,-12.0317483,-48.5378767
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Peixe - TO,-12.0317483,-48.5378767
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Peixe - TO,-12.0317483,-48.5378767
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Peixe - TO,-12.0317483,-48.5378767
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Peixe - TO,-12.0317483,-48.5378767
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Peixe - TO,-12.0317483,-48.5378767
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Peixe - TO,-12.0317483,-48.5378767
TO,15/08/2025 - Feriado Municipal,Feriado Municipal,,2025-08-15,Peixe - TO,-12.0317483,-48.5378767
TO,20/06/2025 - Feriado Municipal,Feriado Municipal,,2025-06-20,Peixe - TO,-12.0317483,-48.5378767
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Peixe - TO,-12.0317483,-48.5378767
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Peixe - TO,-12.0317483,-48.5378767
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Peixe - TO,-12.0317483,-48.5378767
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Peixe - TO,-12.0317483,-48.5378767
TO,25/12/2025 - Natal,Natal,,2025-12-25,Pequizeiro - TO,-8.5969264,-48.931545
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Pequizeiro - TO,-8.5969264,-48.931545
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Pequizeiro - TO,-8.5969264,-48.931545
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Pequizeiro - TO,-8.5969264,-48.931545
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Pequizeiro - TO,-8.5969264,-48.931545
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Pequizeiro - TO,-8.5969264,-48.931545
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Pequizeiro - TO,-8.5969264,-48.931545
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Pequizeiro - TO,-8.5969264,-48.931545
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Pequizeiro - TO,-8.5969264,-48.931545
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Pequizeiro - TO,-8.5969264,-48.931545
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Pequizeiro - TO,-8.5969264,-48.931545
TO,25/12/2025 - Natal,Natal,,2025-12-25,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Pindorama do Tocantins - TO,-11.131074,-47.57263
TO,25/12/2025 - Natal,Natal,,2025-12-25,Novo Acordo - TO,-9.964658,-47.6762804
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Novo Acordo - TO,-9.964658,-47.6762804
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Novo Acordo - TO,-9.964658,-47.6762804
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Novo Acordo - TO,-9.964658,-47.6762804
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Novo Acordo - TO,-9.964658,-47.6762804
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Novo Acordo - TO,-9.964658,-47.6762804
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Novo Acordo - TO,-9.964658,-47.6762804
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Novo Acordo - TO,-9.964658,-47.6762804
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Novo Acordo - TO,-9.964658,-47.6762804
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Novo Acordo - TO,-9.964658,-47.6762804
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Novo Acordo - TO,-9.964658,-47.6762804
TO,25/12/2025 - Natal,Natal,,2025-12-25,Nova Olinda - TO,-7.631712,-48.425232
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Nova Olinda - TO,-7.631712,-48.425232
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Nova Olinda - TO,-7.631712,-48.425232
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Nova Olinda - TO,-7.631712,-48.425232
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Nova Olinda - TO,-7.631712,-48.425232
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Nova Olinda - TO,-7.631712,-48.425232
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Nova Olinda - TO,-7.631712,-48.425232
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Nova Olinda - TO,-7.631712,-48.425232
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Nova Olinda - TO,-7.631712,-48.425232
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Nova Olinda - TO,-7.631712,-48.425232
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Nova Olinda - TO,-7.631712,-48.425232
TO,25/12/2025 - Natal,Natal,,2025-12-25,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Ponte Alta do Bom Jesus - TO,-12.088669,-46.4776274
TO,25/12/2025 - Natal,Natal,,2025-12-25,Juarina - TO,-8.1194209,-49.0967459
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Juarina - TO,-8.1194209,-49.0967459
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Juarina - TO,-8.1194209,-49.0967459
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Juarina - TO,-8.1194209,-49.0967459
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Juarina - TO,-8.1194209,-49.0967459
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Juarina - TO,-8.1194209,-49.0967459
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Juarina - TO,-8.1194209,-49.0967459
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Juarina - TO,-8.1194209,-49.0967459
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Juarina - TO,-8.1194209,-49.0967459
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Juarina - TO,-8.1194209,-49.0967459
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Juarina - TO,-8.1194209,-49.0967459
TO,25/12/2025 - Natal,Natal,,2025-12-25,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Lagoa do Tocantins - TO,-10.2967881,-47.566253
TO,25/12/2025 - Natal,Natal,,2025-12-25,Lajeado - TO,-29.4647393,-51.9904432
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Lajeado - TO,-29.4647393,-51.9904432
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Lajeado - TO,-29.4647393,-51.9904432
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Lajeado - TO,-29.4647393,-51.9904432
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Lajeado - TO,-29.4647393,-51.9904432
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Lajeado - TO,-29.4647393,-51.9904432
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Lajeado - TO,-29.4647393,-51.9904432
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Lajeado - TO,-29.4647393,-51.9904432
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Lajeado - TO,-29.4647393,-51.9904432
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Lajeado - TO,-29.4647393,-51.9904432
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Lajeado - TO,-29.4647393,-51.9904432
TO,25/12/2025 - Natal,Natal,,2025-12-25,Lavandeira - TO,-12.7887924,-46.5073198
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Lavandeira - TO,-12.7887924,-46.5073198
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Lavandeira - TO,-12.7887924,-46.5073198
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Lavandeira - TO,-12.7887924,-46.5073198
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Lavandeira - TO,-12.7887924,-46.5073198
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Lavandeira - TO,-12.7887924,-46.5073198
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Lavandeira - TO,-12.7887924,-46.5073198
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Lavandeira - TO,-12.7887924,-46.5073198
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Lavandeira - TO,-12.7887924,-46.5073198
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Lavandeira - TO,-12.7887924,-46.5073198
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Lavandeira - TO,-12.7887924,-46.5073198
TO,25/12/2025 - Natal,Natal,,2025-12-25,Lizarda - TO,-9.5955336,-46.675218
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Lizarda - TO,-9.5955336,-46.675218
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Lizarda - TO,-9.5955336,-46.675218
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Lizarda - TO,-9.5955336,-46.675218
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Lizarda - TO,-9.5955336,-46.675218
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Lizarda - TO,-9.5955336,-46.675218
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Lizarda - TO,-9.5955336,-46.675218
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Lizarda - TO,-9.5955336,-46.675218
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Lizarda - TO,-9.5955336,-46.675218
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Lizarda - TO,-9.5955336,-46.675218
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Lizarda - TO,-9.5955336,-46.675218
TO,25/12/2025 - Natal,Natal,,2025-12-25,Mateiros - TO,-10.546192,-46.4182896
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Mateiros - TO,-10.546192,-46.4182896
TO,02/11/2025 - Dia de Finados,Dia de Finados,,2025-11-02,Mateiros - TO,-10.546192,-46.4182896
TO,12/10/2025 - Nossa Senhora Aparecida,Nossa Senhora Aparecida,,2025-10-12,Mateiros - TO,-10.546192,-46.4182896
TO,05/10/2025 - Aniversário de Tocantins,Aniversário de Tocantins,,2025-10-05,Mateiros - TO,-10.546192,-46.4182896
TO,08/09/2025 - Padroeira de Tocantins,Padroeira de Tocantins,,2025-09-08,Mateiros - TO,-10.546192,-46.4182896
TO,07/09/2025 - Independência do Brasil,Independência do Brasil,,2025-09-07,Mateiros - TO,-10.546192,-46.4182896
TO,01/05/2025 - Dia do Trabalho,Dia do Trabalho,,2025-05-01,Mateiros - TO,-10.546192,-46.4182896
TO,21/04/2025 - Dia de Tiradentes,Dia de Tiradentes,,2025-04-21,Mateiros - TO,-10.546192,-46.4182896
TO,18/04/2025 - Sexta-Feira Santa,Sexta-Feira Santa,,2025-04-18,Mateiros - TO,-10.546192,-46.4182896
TO,01/01/2025 - Ano Novo,Ano Novo,,2025-01-01,Mateiros - TO,-10.546192,-46.4182896
TO,25/12/2025 - Natal,Natal,,2025-12-25,Miracema do Tocantins - TO,-9.5616975,-48.3900277
TO,20/11/2025 - Dia da Consciência Negra,Dia da Consciência Negra,,2025-11-20,Miracema do Tocantins - TO,-9.5616975,-48.3900277
TO,15/11/2025 - Proclamação da República,Proclamação da República,,2025-11-15,Miracema do Tocantins - TO,-9.5616975,-48.3900277
